DATE,AvgTemp
3/18/2017,49
3/19/2017,48
3/20/2017,47
3/21/2017,50
3/22/2017,51
3/23/2017,44
3/24/2017,48
3/25/2017,46
3/26/2017,46
3/27/2017,49
3/28/2017,48
3/29/2017,50
3/30/2017,47
3/31/2017,46
04-01-2017,45
04-02-2017,45
04-03-2017,47
04-04-2017,51
04-05-2017,55
04-06-2017,54
04-07-2017,55
04-08-2017,53
04-09-2017,49
04-10-2017,46
04-11-2017,46
04-12-2017,41
4/13/2017,46
4/14/2017,41
4/15/2017,43
4/16/2017,45
4/17/2017,45
4/18/2017,44
4/19/2017,
4/20/2017,44
4/21/2017,46
4/22/2017,50
4/23/2017,47
4/24/2017,47
4/25/2017,50
4/26/2017,52
4/27/2017,50
4/28/2017,44
4/29/2017,43
4/30/2017,40
05-01-2017,41
05-02-2017,42
05-03-2017,42
05-04-2017,49
05-05-2017,49
05-06-2017,51
05-07-2017,48
05-08-2017,48
05-09-2017,46
05-10-2017,44
05-11-2017,43
05-12-2017,48
5/13/2017,47
5/14/2017,46
5/15/2017,44
5/16/2017,44
5/17/2017,44
5/18/2017,42
5/19/2017,43
5/20/2017,48
5/21/2017,50
5/22/2017,53
5/23/2017,54
5/24/2017,48
5/25/2017,46
5/26/2017,43
5/27/2017,41
5/28/2017,41
5/29/2017,46
5/30/2017,46
5/31/2017,51
06-01-2017,54
06-02-2017,54
06-03-2017,54
06-04-2017,54
06-05-2017,51
06-06-2017,51
06-07-2017,53
06-08-2017,56
06-09-2017,56
06-10-2017,53
06-11-2017,51
06-12-2017,50
6/13/2017,50
6/14/2017,48
6/15/2017,47
6/16/2017,49
6/17/2017,51
6/18/2017,53
6/19/2017,56
6/20/2017,56
6/21/2017,55
6/22/2017,54
6/23/2017,51
6/24/2017,54
6/25/2017,51
6/26/2017,51
6/27/2017,54
6/28/2017,49
6/29/2017,52
6/30/2017,53
07-01-2017,49
07-02-2017,47
07-03-2017,51
07-04-2017,48
07-05-2017,48
07-06-2017,49
07-07-2017,50
07-08-2017,49
07-09-2017,47
07-10-2017,46
07-11-2017,47
07-12-2017,49
7/13/2017,49
7/14/2017,46
7/15/2017,44
7/16/2017,50
7/17/2017,50
7/18/2017,47
7/19/2017,50
7/20/2017,51
7/21/2017,50
7/22/2017,51
7/23/2017,51
7/24/2017,48
7/25/2017,49
7/26/2017,48
7/27/2017,51
7/28/2017,52
7/29/2017,49
7/30/2017,53
7/31/2017,54
08-01-2017,49
08-02-2017,47
08-03-2017,47
08-04-2017,53
08-05-2017,55
08-06-2017,51
08-07-2017,51
08-08-2017,51
08-09-2017,50
08-10-2017,50
08-11-2017,54
08-12-2017,57
8/13/2017,54
8/14/2017,51
8/15/2017,51
8/16/2017,51
8/17/2017,50
8/18/2017,51
8/19/2017,48
8/20/2017,48
8/21/2017,44
8/22/2017,49
8/23/2017,52
8/24/2017,53
8/25/2017,53
8/26/2017,50
8/27/2017,49
8/28/2017,47
8/29/2017,46
8/30/2017,46
8/31/2017,50
09-01-2017,54
09-02-2017,48
09-03-2017,51
09-04-2017,49
09-05-2017,49
09-06-2017,48
09-07-2017,45
09-08-2017,46
09-09-2017,45
09-10-2017,46
09-11-2017,48
09-12-2017,50
9/13/2017,50
9/14/2017,51
9/15/2017,51
9/16/2017,51
9/17/2017,55
9/18/2017,51
9/19/2017,48
9/20/2017,44
9/21/2017,46
9/22/2017,44
9/23/2017,47
9/24/2017,45
9/25/2017,48
9/26/2017,47
9/27/2017,49
9/28/2017,50
9/29/2017,51
9/30/2017,44
10-01-2017,45
10-02-2017,46
10-03-2017,48
10-04-2017,50
10-05-2017,51
10-06-2017,51
10-07-2017,48
10-08-2017,50
10-09-2017,54
10-10-2017,52
10-11-2017,51
10-12-2017,49
10/13/2017,46
10/14/2017,46
10/15/2017,45
10/16/2017,48
10/17/2017,49
10/18/2017,52
10/19/2017,51
10/20/2017,47
10/21/2017,48
10/22/2017,46
10/23/2017,47
10/24/2017,49
10/25/2017,48
10/26/2017,51
10/27/2017,50
10/28/2017,51
10/29/2017,48
10/30/2017,46
10/31/2017,44
11-01-2017,46
11-02-2017,47
11-03-2017,49
11-04-2017,48
11-05-2017,50
